jurisdiction,metric,year,value,confidence,notes
seattle,bond_rating_index,2015,10,medium,"Mandate-computed median of the 3 major agencies' top-tier GO bond rating (Unlimited Tax GO, the primary full-faith-and-credit series) as of 2015: Moody's Aaa (10), S&P AAA (10), Fitch AAA (10) -- median 10. Seattle's Limited Tax GO (LTGO) series was rated one notch lower by Moody's (Aa1) and Fitch (AA+) this year, converging with UTGO by 2016-2017; this row uses the UTGO/primary GO rating for consistency with years where no LTGO/UTGO split existed."
seattle,bond_rating_index,2016,10,medium,"Same as 2015: Moody's Aaa (10), S&P AAA (10), Fitch AAA (10) -- median 10. Fitch's LTGO/UTGO split had converged to AAA/AAA by this year's rating action."
seattle,bond_rating_index,2017,10,medium,"Moody's Aaa (10, LTGO upgraded to converge with UTGO this year), S&P AAA (10), Fitch AAA (10) -- median 10."
seattle,bond_rating_index,2018,10,medium,"Fitch AAA (10, confirmed via an Apr 2018 rating action). No specific 2018 Moody's or S&P document located, but no rating action/downgrade found either side of this year (2017 and 2019 both confirmed Aaa/AAA) -- treated as stable/unchanged at 10."
seattle,bond_rating_index,2019,10,medium,"Moody's Aaa (10, confirmed via a Jul 2019 credit opinion). No specific 2019 S&P or Fitch document located, but no rating action/downgrade found in adjacent years -- treated as stable/unchanged at 10."
seattle,bond_rating_index,2020,10,medium,"Moody's Aaa (10), S&P AAA (10), Fitch AAA (10) -- all confirmed via 2020 GO bond Official Statement and agency reports. Median 10."
seattle,bond_rating_index,2021,10,medium,"Moody's Aaa (10), S&P AAA (10), Fitch AAA (10, explicitly affirming outstanding UTGO paper) -- median 10."
seattle,bond_rating_index,2022,10,medium,"Moody's Aaa (10), S&P AAA (10), Fitch AAA (10) -- all confirmed via 2022 GO bond Official Statement cover page. Median 10."
seattle,bond_rating_index,2023,10,medium,"Moody's Aaa (10), S&P AAA (10), Fitch AAA (10) -- median 10."
seattle,bond_rating_index,2024,10,medium,"Moody's Aaa (10, affirmed), Fitch AAA (10, affirmed) -- no specific 2024 S&P document located, but no downgrade found in adjacent years -- median 10."
seattle,bond_rating_index,2025,10,medium,"Moody's Aaa (10), S&P AAA (10), Fitch AAA (10) -- median 10. Seattle has held the top rating from all 3 agencies (on its primary GO series) throughout the entire 2015-2025 window -- a genuinely different, more stable pattern than Minneapolis (temporary dip to AA+-equivalent 2017-2022) or DC (stepped up from AA-equivalent to AA+/Aaa-equivalent over this period)."
